p,n,total_time,comp_time,comm_time,overhead,cost
26,6,0.3563,0.0017,0.3524,0.0022,958
26,6,0.3588,0.0019,0.3162,0.0408,824
26,6,0.3586,0.0017,0.3548,0.0021,766
26,6,0.3743,0.0023,0.3365,0.0356,1134
26,6,0.3571,0.0017,0.3298,0.0256,1326
26,6,0.3577,0.0017,0.3156,0.0405,987
26,6,0.3455,0.0018,0.3047,0.0391,983
26,6,0.3451,0.0017,0.3029,0.0404,989
26,6,0.3551,0.0018,0.3122,0.0411,1096
26,6,0.3628,0.0018,0.3266,0.0344,1030
28,6,0.4231,0.0019,0.4192,0.0021,1279
28,6,0.4219,0.0019,0.4082,0.0118,936
28,6,0.4302,0.0018,0.3880,0.0405,1096
28,6,0.4141,0.0018,0.3673,0.0450,1101
28,6,0.4082,0.0020,0.4043,0.0019,1399
28,6,0.4295,0.0016,0.4020,0.0259,943
28,6,0.4193,0.0019,0.3732,0.0443,1131
28,6,0.4225,0.0019,0.3892,0.0314,1538
28,6,0.4088,0.0018,0.3997,0.0073,1072
28,6,0.4145,0.0018,0.3964,0.0163,1095
28,6,0.4093,0.0021,0.3911,0.0161,1027
28,6,0.4255,0.0019,0.3727,0.0508,1186
28,6,0.4153,0.0019,0.4115,0.0020,1660
28,6,0.4350,0.0026,0.4299,0.0025,1679
28,6,0.4103,0.0018,0.4012,0.0072,1278
28,6,0.4210,0.0019,0.4073,0.0118,1319
28,6,0.4160,0.0019,0.4072,0.0069,912
28,6,0.4117,0.0019,0.3788,0.0311,1075
28,6,0.4099,0.0018,0.3776,0.0305,1113
28,6,0.4229,0.0018,0.4098,0.0114,1159
28,6,0.4113,0.0020,0.3879,0.0214,1046
28,6,0.4205,0.0021,0.4062,0.0123,1166
28,6,0.4050,0.0017,0.3636,0.0396,1181
28,6,0.4172,0.0018,0.3984,0.0170,887
28,6,0.4147,0.0019,0.3860,0.0268,1243
28,6,0.4164,0.0019,0.3641,0.0503,1384
28,6,0.4112,0.0020,0.3633,0.0460,976
28,6,0.4160,0.0019,0.4073,0.0068,1171
28,6,0.4119,0.0018,0.3985,0.0116,1262
28,6,0.4181,0.0018,0.3702,0.0461,972
30,6,0.4888,0.0023,0.4418,0.0448,1476
30,6,0.4879,0.0020,0.4700,0.0159,1311
30,6,0.4804,0.0023,0.4328,0.0453,1442
30,6,0.4758,0.0019,0.4249,0.0491,936
30,6,0.4719,0.0019,0.4257,0.0443,816
30,6,0.4795,0.0019,0.4617,0.0160,1187
30,6,0.4645,0.0019,0.4313,0.0313,985
30,6,0.4705,0.0023,0.4251,0.0430,1365
30,6,0.4795,0.0019,0.4466,0.0310,1164
30,6,0.4617,0.0019,0.4391,0.0207,799
30,6,0.4784,0.0018,0.4370,0.0396,1078
30,6,0.4796,0.0019,0.4608,0.0169,1051
30,6,0.4692,0.0018,0.4179,0.0495,1146
30,6,0.4753,0.0026,0.4227,0.0500,1097
30,6,0.4772,0.0020,0.4534,0.0218,1193
30,6,0.4785,0.0019,0.4460,0.0306,1412
30,6,0.4730,0.0017,0.4236,0.0477,724
30,6,0.4773,0.0021,0.4247,0.0505,956
30,6,0.4828,0.0021,0.4350,0.0457,1141
30,6,0.4710,0.0022,0.4525,0.0163,1244
30,6,0.4732,0.0017,0.4225,0.0490,1064
30,6,0.4814,0.0020,0.4435,0.0359,1509
30,6,0.4803,0.0019,0.4348,0.0437,1178
30,6,0.4777,0.0019,0.4688,0.0070,1447
30,6,0.4647,0.0018,0.4145,0.0484,1099
30,6,0.4727,0.0017,0.4215,0.0495,830
30,6,0.4718,0.0020,0.4202,0.0497,1324
30,6,0.4765,0.0019,0.4625,0.0120,998
30,6,0.4826,0.0019,0.4697,0.0111,990
30,6,0.4746,0.0017,0.4522,0.0207,951
32,6,0.5196,0.0020,0.4906,0.0270,1161
32,6,0.5116,0.0023,0.4594,0.0498,1207
32,6,0.5306,0.0021,0.4974,0.0311,1439
32,6,0.0543,0.0018,0.0425,0.0100,1246
32,6,0.5307,0.0018,0.5266,0.0023,1361
32,6,0.5281,0.0026,0.4761,0.0495,1446
32,6,0.5216,0.0020,0.4789,0.0408,1106
32,6,0.5115,0.0021,0.4603,0.0491,1222
32,6,0.5214,0.0022,0.5128,0.0064,793
32,6,0.5201,0.0020,0.4674,0.0507,1166
